Frequency (Hz),Channel 1 (dBV),Phase (deg),Channel 2 (dBV),Phase (deg)
2149.125220070423,-83.81566551876767,122.0770973242514,-53.94475366877516,126.5984074615946
2192.107724471831,-82.33963313592099,165.150808042131,-73.41646485069943,33.93299141788058
2235.09022887324,-81.42847106379074,170.5208229618075,-73.61065852290247,17.76786854467472
2278.072733274648,-85.74027539651597,171.1687180857874,-71.95675898990258,8.394042599601745
2321.055237676056,-97.09679480103935,177.5677245492411,-70.785229758377,2.030273998764785
2364.037742077465,-84.31972349827166,21.03270407605174,-72.01341856683173,175.188325659255
2407.020246478873,-82.0148252915039,44.1370997554685,-76.0556659956746,3.822308393262972
2450.002750880281,-82.47068979811073,60.38587606658793,-84.6436526993994,14.3106622301444
2492.98525528169,-82.63731898748156,96.62883317572221,-94.78499823201088,31.42687647709301
2535.967759683098,-82.24258041921557,133.2211694177711,-83.99940378545567,19.08429570914537
2578.950264084507,-87.83832234760359,2.587221033537698,-77.89626604616923,26.13202971568608
2621.932768485915,-87.26366719094101,82.56738954788523,-73.45231584268453,28.68180403595717
2664.915272887324,-82.41719508166517,99.87668962823827,-70.61329622507365,18.29036186105685
2707.897777288732,-79.48081177884502,95.98593621856767,-69.77820779660678,13.96403818263126
2750.880281690141,-79.64305892764548,95.9828401565068,-72.06330205496758,11.62987319130636
2793.862786091549,-82.53838605571724,99.00362882957273,-82.22905762928896,5.760813638197984
2836.845290492958,-90.82835075728261,73.63345054125756,-74.09708726192089,9.425976617427159
2879.827794894366,-89.45379751679079,20.99388157477884,-57.63100081831973,30.84214503126142
2922.810299295775,-82.18031558891269,39.50539988947251,-49.13858221552972,36.2700478737152
2965.792803697183,-78.37360382264518,47.92149531895468,-46.690064132791,37.20080644871607
3008.775308098591,-76.43963884169226,56.98399846228335,-46.58642251527791,38.5444062908648
3051.7578125,-76.05120010567246,66.25730665901783,-47.08075080118415,41.00839311605447
3094.740316901408,-78.80199239709454,87.04762574140169,-51.44968332313599,43.18580130073133
3137.722821302817,-81.51033068741272,119.9638776821657,-62.82438210770032,54.38121021016658
3180.705325704225,-84.62702892074843,146.0083605075394,-73.02477794340699,125.8356838578919
3223.687830105634,-87.61052486391391,172.7815137092421,-74.85446657489165,168.2682058240799
3266.670334507042,-88.39960433207582,176.9507973185156,-73.48545979016794,22.20817512639143
3309.652838908451,-85.62969580496767,1.874079437584563,-72.22307745136736,22.66258073407129
3352.635343309859,-83.91333935604708,8.691271641533426,-73.76645241493728,7.731143825268108
3395.617847711268,-84.34872360124503,16.54917659063775,-73.50859113017128,155.4611223064997
