binary,metric,value,config
gcc_s,system.l2.demandAvgMshrMissLatency::cpu.icache.prefetcher,77743.883721,nextline
gcc_s,system.l2.overallAvgMshrMissLatency::cpu.dcache.prefetcher,70521.931714,nextline
gcc_s,system.l2.overallAvgMshrMissLatency::cpu.icache.prefetcher,77743.883721,nextline
gcc_s,system.l2.overallAvgMshrMissLatency::l2.prefetcher,39536.533030,nextline
gcc_s,system.l2.HardPFReq.mshrMisses::l2.prefetcher,257599,nextline
gcc_s,system.l2.HardPFReq.mshrMissLatency::l2.prefetcher,10184571372,nextline
gcc_s,system.l2.HardPFReq.mshrMissRate::l2.prefetcher,inf,nextline
gcc_s,system.l2.HardPFReq.avgMshrMissLatency::l2.prefetcher,39536.533030,nextline
gcc_s,system.l2.ReadCleanReq.hits::cpu.icache.prefetcher,42,nextline
gcc_s,system.l2.ReadCleanReq.misses::cpu.icache.prefetcher,114,nextline
gcc_s,system.l2.ReadCleanReq.missLatency::cpu.icache.prefetcher,6437556,nextline
gcc_s,system.l2.ReadCleanReq.accesses::cpu.icache.prefetcher,156,nextline
gcc_s,system.l2.ReadCleanReq.missRate::cpu.icache.prefetcher,0.730769,nextline
gcc_s,system.l2.ReadCleanReq.avgMissLatency::cpu.icache.prefetcher,56469.789474,nextline
gcc_s,system.l2.ReadCleanReq.mshrHits::cpu.icache.prefetcher,71,nextline
gcc_s,system.l2.ReadCleanReq.mshrMisses::cpu.icache.prefetcher,43,nextline
gcc_s,system.l2.ReadCleanReq.mshrMissLatency::cpu.icache.prefetcher,3342987,nextline
gcc_s,system.l2.ReadCleanReq.mshrMissRate::cpu.icache.prefetcher,0.275641,nextline
gcc_s,system.l2.ReadCleanReq.avgMshrMissLatency::cpu.icache.prefetcher,77743.883721,nextline
gcc_s,system.l2.ReadSharedReq.hits::cpu.dcache.prefetcher,288062,nextline
gcc_s,system.l2.ReadSharedReq.misses::cpu.dcache.prefetcher,241829,nextline
gcc_s,system.l2.ReadSharedReq.missLatency::cpu.dcache.prefetcher,7635871728,nextline
gcc_s,system.l2.ReadSharedReq.accesses::cpu.dcache.prefetcher,529891,nextline
gcc_s,system.l2.ReadSharedReq.missRate::cpu.dcache.prefetcher,0.456375,nextline
gcc_s,system.l2.ReadSharedReq.avgMissLatency::cpu.dcache.prefetcher,31575.500573,nextline
gcc_s,system.l2.ReadSharedReq.mshrHits::cpu.dcache.prefetcher,232486,nextline
gcc_s,system.l2.ReadSharedReq.mshrMisses::cpu.dcache.prefetcher,9343,nextline
gcc_s,system.l2.ReadSharedReq.mshrMissLatency::cpu.dcache.prefetcher,658886408,nextline
gcc_s,system.l2.ReadSharedReq.mshrMissRate::cpu.dcache.prefetcher,0.017632,nextline
gcc_s,system.l2.ReadSharedReq.avgMshrMissLatency::cpu.dcache.prefetcher,70521.931714,nextline
gcc_s,system.l2.prefetcher.demandMshrMisses,18189,nextline
gcc_s,system.l2.prefetcher.pfIssued,582569,nextline
gcc_s,system.l2.prefetcher.pfUnused,9809,nextline
gcc_s,system.l2.prefetcher.pfUseful,14005,nextline
gcc_s,system.l2.prefetcher.pfUsefulButMiss,0,nextline
gcc_s,system.l2.prefetcher.accuracy,0.024040,nextline
gcc_s,system.l2.prefetcher.coverage,0.435019,nextline
gcc_s,system.l2.prefetcher.pfHitInCache,315365,nextline
gcc_s,system.l2.prefetcher.pfHitInMSHR,9600,nextline
gcc_s,system.l2.prefetcher.pfHitInWB,5,nextline
gcc_s,system.l2.prefetcher.pfLate,324970,nextline
gcc_s,system.l2.prefetcher.pfIdentified,588749,nextline
gcc_s,system.l2.prefetcher.pfBufferHit,0,nextline
gcc_s,system.l2.prefetcher.pfInCache,0,nextline
gcc_s,system.l2.prefetcher.pfRemovedDemand,6180,nextline
gcc_s,system.l2.prefetcher.pfRemovedFull,0,nextline
gcc_s,system.l2.prefetcher.pfSpanPage,10072,nextline
gcc_s,system.l2.prefetcher.pfUsefulSpanPage,172,nextline
gcc_s,system.l2.prefetcher.power_state.pwrStateResidencyTicks::UNDEFINED,39131733743685,nextline
gcc_s,system.l2.tags.occupancies::cpu.dcache.prefetcher,196.588098,nextline
gcc_s,system.l2.tags.occupancies::cpu.icache.prefetcher,0.475421,nextline
gcc_s,system.l2.tags.occupancies::l2.prefetcher,3640.277690,nextline
gcc_s,system.l2.tags.avgOccs::cpu.dcache.prefetcher,0.047995,nextline
gcc_s,system.l2.tags.avgOccs::cpu.icache.prefetcher,0.000116,nextline
gcc_s,system.l2.tags.avgOccs::l2.prefetcher,0.888740,nextline
gcc_s,system.l3.demandHits::cpu.dcache.prefetcher,502,nextline
gcc_s,system.l3.demandHits::cpu.icache.prefetcher,8,nextline
gcc_s,system.l3.demandHits::l2.prefetcher,19652,nextline
gcc_s,system.l3.overallHits::cpu.dcache.prefetcher,502,nextline
gcc_s,system.l3.overallHits::cpu.icache.prefetcher,8,nextline
gcc_s,system.l3.overallHits::l2.prefetcher,19652,nextline
gcc_s,system.l3.demandMisses::cpu.dcache.prefetcher,8841,nextline
gcc_s,system.l3.demandMisses::cpu.icache.prefetcher,35,nextline
gcc_s,system.l3.demandMisses::l2.prefetcher,237940,nextline
gcc_s,system.l3.overallMisses::cpu.dcache.prefetcher,8841,nextline
gcc_s,system.l3.overallMisses::cpu.icache.prefetcher,35,nextline
gcc_s,system.l3.overallMisses::l2.prefetcher,237940,nextline
gcc_s,system.l3.demandMissLatency::cpu.dcache.prefetcher,617985104,nextline
gcc_s,system.l3.demandMissLatency::cpu.icache.prefetcher,3115215,nextline
gcc_s,system.l3.demandMissLatency::l2.prefetcher,9959593353,nextline
gcc_s,system.l3.overallMissLatency::cpu.dcache.prefetcher,617985104,nextline
gcc_s,system.l3.overallMissLatency::cpu.icache.prefetcher,3115215,nextline
gcc_s,system.l3.overallMissLatency::l2.prefetcher,9959593353,nextline
gcc_s,system.l3.demandAccesses::cpu.dcache.prefetcher,9343,nextline
gcc_s,system.l3.demandAccesses::cpu.icache.prefetcher,43,nextline
gcc_s,system.l3.demandAccesses::l2.prefetcher,257592,nextline
gcc_s,system.l3.overallAccesses::cpu.dcache.prefetcher,9343,nextline
gcc_s,system.l3.overallAccesses::cpu.icache.prefetcher,43,nextline
gcc_s,system.l3.overallAccesses::l2.prefetcher,257592,nextline
gcc_s,system.l3.demandMissRate::cpu.dcache.prefetcher,0.946270,nextline
gcc_s,system.l3.demandMissRate::cpu.icache.prefetcher,0.813953,nextline
gcc_s,system.l3.demandMissRate::l2.prefetcher,0.923709,nextline
gcc_s,system.l3.overallMissRate::cpu.dcache.prefetcher,0.946270,nextline
gcc_s,system.l3.overallMissRate::cpu.icache.prefetcher,0.813953,nextline
gcc_s,system.l3.overallMissRate::l2.prefetcher,0.923709,nextline
gcc_s,system.l3.demandAvgMissLatency::cpu.dcache.prefetcher,69899.909965,nextline
gcc_s,system.l3.demandAvgMissLatency::cpu.icache.prefetcher,89006.142857,nextline
gcc_s,system.l3.demandAvgMissLatency::l2.prefetcher,41857.583227,nextline
gcc_s,system.l3.overallAvgMissLatency::cpu.dcache.prefetcher,69899.909965,nextline
gcc_s,system.l3.overallAvgMissLatency::cpu.icache.prefetcher,89006.142857,nextline
gcc_s,system.l3.overallAvgMissLatency::l2.prefetcher,41857.583227,nextline
gcc_s,system.l3.demandMshrHits::cpu.dcache.prefetcher,1145,nextline
gcc_s,system.l3.demandMshrHits::cpu.icache.prefetcher,2,nextline
gcc_s,system.l3.demandMshrHits::l2.prefetcher,228945,nextline
gcc_s,system.l3.overallMshrHits::cpu.dcache.prefetcher,1145,nextline
gcc_s,system.l3.overallMshrHits::cpu.icache.prefetcher,2,nextline
gcc_s,system.l3.overallMshrHits::l2.prefetcher,228945,nextline
gcc_s,system.l3.demandMshrMisses::cpu.dcache.prefetcher,7696,nextline
gcc_s,system.l3.demandMshrMisses::cpu.icache.prefetcher,33,nextline
gcc_s,system.l3.demandMshrMisses::l2.prefetcher,8995,nextline
gcc_s,system.l3.overallMshrMisses::cpu.dcache.prefetcher,7696,nextline
gcc_s,system.l3.overallMshrMisses::cpu.icache.prefetcher,33,nextline
gcc_s,system.l3.overallMshrMisses::l2.prefetcher,8995,nextline
gcc_s,system.l3.overallMshrMisses::l3.prefetcher,247515,nextline
gcc_s,system.l3.demandMshrMissLatency::cpu.dcache.prefetcher,532727445,nextline
gcc_s,system.l3.demandMshrMissLatency::cpu.icache.prefetcher,2839491,nextline
gcc_s,system.l3.demandMshrMissLatency::l2.prefetcher,596804886,nextline
gcc_s,system.l3.overallMshrMissLatency::cpu.dcache.prefetcher,532727445,nextline
gcc_s,system.l3.overallMshrMissLatency::cpu.icache.prefetcher,2839491,nextline
gcc_s,system.l3.overallMshrMissLatency::l2.prefetcher,596804886,nextline
